failCount_month,lifeTime_month,activeLife_month
2,235458078,230518171
1,235379500,231897600
2,235296430,234850243
2,230536124,231379200
2,232887552,230769200
2,234101243,217770120
2,234007701,232054613
2,233927491,170985600
0,317276375,305164800
2,233497164,220671762
1,233319689,234057600
2,233057096,183304822
2,234524222,230623556
2,232970947,205200000
2,231673601,202757156
2,230970378,178329600
2,231488128,213221288
2,232179769,231292800
3,231756121,141523200
2,230027634,138585600
3,231068193,233184121
2,231077524,228350267
2,230296575,218862420
1,229678462,114248329
3,227611015,211617187
2,229091793,228670904
3,229088970,197596800
3,322136526,177028023
2,227950899,210384000
5,227880110,162864000
2,227859959,220994112
1,227523885,181267200
1,226745785,228787200
2,227535199,227836777
4,227600517,223516800
2,227447123,226963900
0,227264538,167875200
2,226306664,192149792
4,226908666,225849600
2,226841303,156799686
2,226835852,102643200
3,305458732,149817600
0,223715271,210623257
4,225806329,207187200
2,226397671,227560695
2,212234178,202843170
2,225800687,228697483
2,225631204,207544421
0,225533161,81561600
1,225620348,215654400
1,224849033,226022400
2,224496291,159346805
2,225024114,152442731
2,225017574,210487842
3,225029333,224321141
2,225170197,224653983
2,223898241,191462400
2,224245502,223171200
5,223809161,197596800
0,322205019,323304629
2,223803591,211003041
2,223116978,163296000
2,220610962,222662219
1,220965984,205113600
2,221552757,166106477
2,221914547,221011200
3,220961715,215136000
5,220607767,211853947
2,220618742,219617185
2,219144172,218918868
2,219759673,176516885
2,219741035,197251200
2,219585469,221772607
4,218886893,205027200
4,218960131,89337600
4,218961941,218246400
2,218527758,99528194
2,218549068,202348800
4,217233639,197942400
2,217757869,202963836
0,217764450,210556800
2,216992984,198271921
2,215523118,182744379
0,212226987,152323200
2,216027995,204624004
2,214207327,76464000
0,214214349,208051200
2,214050042,215654400
2,213605466,192734942
1,213535804,207705600
0,212802185,60652800
2,212303011,213391041
2,209472308,210807681
3,209203244,191980800
2,207564024,207428974
2,212151562,168480000
2,211637403,212620400
2,211278120,211821630
2,209723947,210384000
2,210681909,210470400
0,314095675,241660800
2,210580997,184291200
3,209807663,189548445
2,210416415,121219200
2,209886369,152755200
2,208091382,205818130
2,207475379,200120624
0,214214349,208051200
3,207440749,192585600
2,208085124,208283768
2,206793831,154823246
2,206965418,207469436
1,207044042,191721600
1,207471370,197164800
1,207046369,207705600
2,205231048,206071417
2,206955305,208009544
1,313753505,305337600
2,205569519,202435200
0,206247745,163209600
3,204973034,189302400
2,205058826,202694400
2,204969649,205006406
2,203162299,166752614
4,204014522,155865600
4,203324024,203676718
3,204026625,191791671
2,204892628,197931571
3,203425624,193947180
2,202548718,202057303
2,202634776,202280438
3,201872320,84499200
5,201514234,196688113
2,201434930,198183649
2,200731809,199742077
2,197365789,197561244
2,200407288,199926552
0,200217185,165628800
2,199447622,198266780
2,199445426,110505600
2,198927620,193454880
2,199094649,87426641
2,198580553,200286860
2,198931349,189129600
2,198916333,194572800
2,196060103,197164800
2,197725032,187814179
4,182239799,184032000
2,196076828,194486400
2,196083956,195927381
2,195551419,193856335
2,195646336,194745600
2,195387720,196972448
2,194958213,133315337
4,194865649,197078400
1,194098497,194486400
2,194265698,186436645
0,194248863,194486400
2,189837943,189298506
2,31645022,31708800
2,192884070,194752404
2,192191328,131500800
2,191661253,166644202
2,191668355,186883200
1,190452264,192067200
2,189840753,191701202
3,189430670,155520000
3,189432978,166233600
2,189253237,171878114
2,189165090,187104764
3,84197401,84252138
1,188721224,175996800
2,183466983,34128000
4,182866762,113184000
2,182248955,178848000
2,180867357,177737751
2,180948735,181526400
2,180261030,124052221
2,178265213,178079743
1,179569033,41990400
2,179142782,176604724
2,179065038,176256000
2,179048608,138497395
2,177423051,20995200
2,175417751,153236210
1,177409541,176256000
2,175603537,177443131
2,177146113,160531200
2,176197432,162864000
2,174372134,156885840
2,174383337,169226539
5,175936465,168480000
2,174203803,143760958
5,22500604,23760000
2,173006353,170196043
2,173086254,99619200
2,173522874,127781914
1,173180630,68515200
3,173015169,173577600
3,173098623,136944000
2,173003245,121012703
2,172303663,155001600
2,171710020,99705600
0,170509068,163209600
2,169891586,169868001
2,169556142,165369600
2,168089860,139449600
2,143534704,110505600
2,168936704,169253689
2,168239988,162604800
2,167123462,165968133
2,166874036,86745600
2,77282591,73686238
2,166348316,167707320
2,166347594,166939526
4,165234379,160531200
2,165310420,166490143
0,165228297,156196269
3,164010282,113011314
2,163941983,154928915
2,162648473,162062859
2,304667518,304978011
1,160490551,143856000
2,159612945,157852800
0,159277202,150854400
1,47373872,49766400
4,157966029,149731200
2,157977352,158794083
2,157450497,105408000
2,157454595,132975510
1,156504718,154144372
3,154861430,141955200
5,152441609,136512000
2,153220818,150834844
2,152960737,155174400
2,142063362,57715200
2,149589815,150494312
2,148994591,131587200
2,146473303,143525117
2,148105354,148435270
2,148291999,149035519
2,147686527,147149010
2,147612244,149003954
4,147515277,147139200
3,147508699,34300800
3,146991844,78883200
3,145603857,93301749
1,145344436,136771200
2,142691188,142927693
1,142070867,129168000
0,141892339,141955200
3,141739442,57542400
2,141392701,141951613
0,139918978,125625600
2,34931419,36720000
2,139912616,140920219
2,138454894,137391808
2,136632992,136944000
2,136208237,136938643
2,129982604,129151835
2,307171232,303948527
2,134818107,124588800
8,134825593,113184000
8,133618459,123889448
0,133011165,134006400
1,129645257,105321600
2,131274087,115862400
5,129198321,126144000
2,128176600,128098963
2,128162532,128995200
5,126444099,128822400
2,125045519,95303026
2,122803249,123558004
2,120380958,120165210
2,120306714,121204741
2,120216155,121980482
1,119254970,100051200
2,117713641,118506903
7,117273589,118540800
3,60684811,62388395
2,114935517,109712649
4,114176061,106432090
0,113223201,115689600
2,112103629,113085251
2,111846243,110313947
0,111840247,106675278
2,110108737,109619067
2,109841272,110592000
2,107595719,65836800
2,37706272,39484800
1,105367105,107568000
2,104680338,97286400
3,104244845,60739200
