Месяц,Всего аварий,Аварии простой,Аварии макс,Время жизни,Время активности,Звонков,Отбитые звонки,Неотвеченные,Цена тарифа,Скорость тарифа,Доп услуги,Смотрешка,Пол,Платежей,Тип платежа,Сумма платежей,Сервисная заявка,Отток
4,2,6534,6354,17323777,18403200,0,0,0,800,50,1,0,1,5,6,1980,0,0
4,2,6534,6354,16968222,13046400,0,0,0,800,50,0,0,1,2,6,1454,0,0
4,3,3300,3060,6596424,7776000,0,0,0,650,100,1,0,1,2,6,1800,0,0
4,9,62280,45971,5981881,5875200,7,0,2,650,100,1,0,1,2,2,700,2,0
4,2,6534,6354,16373552,18403200,1,0,1,800,50,0,0,1,3,6,1400,0,0
4,2,6534,6354,15406172,15724800,0,0,0,800,50,0,0,1,3,6,1400,0,0
4,2,6534,6354,14550106,15724800,0,0,0,600,25,1,0,1,2,2,1000,1,0
4,2,6534,6354,15488703,7862400,0,0,0,900,100,0,0,1,0,0,0,0,0
4,2,300,300,14880900,15724800,1,0,0,800,50,1,1,1,2,6,1885,0,0
4,2,6534,6354,14726781,15724800,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,14128918,15638400,1,0,0,500,50,1,0,1,2,6,900,0,0
4,3,480,240,9261810,2678400,0,0,0,500,20,1,0,1,0,0,0,0,0
4,2,6534,6354,13932670,15638400,4,0,0,800,50,1,1,1,3,6,3322,1,0
4,0,0,0,11258017,2592000,0,0,0,500,20,1,0,1,0,0,0,0,0
4,3,11640,11220,13941444,15724800,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,2,6534,6354,12561551,13046400,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,12551242,13132800,5,1,2,800,50,0,0,1,2,6,1500,2,0
4,2,6534,6354,12296792,13132800,0,0,0,800,50,1,0,1,2,6,2300,0,0
4,2,6534,6354,12213497,5356800,0,0,0,800,50,1,0,1,0,0,0,0,0
4,2,6534,6354,11865340,2678400,0,0,0,900,100,1,0,1,0,0,0,0,0
4,2,6534,6354,9801972,10368000,1,0,0,800,100,0,0,1,2,6,2200,0,0
4,2,6534,6354,7995363,10368000,1,0,0,800,50,0,0,1,2,6,1600,0,0
4,1,120,120,7736501,7776000,2,0,0,800,100,1,0,1,1,3,900,0,0
4,2,6534,6354,6944708,7776000,0,0,0,800,50,0,0,1,3,6,2300,0,0
4,2,6534,6354,6770190,7776000,0,0,0,800,50,1,0,1,2,6,2300,0,0
4,0,0,0,6066317,7862400,4,0,1,800,50,0,0,1,2,6,1600,2,1
4,3,6540,6420,4780877,5184000,1,0,0,800,100,1,0,1,2,4,1601,0,0
4,2,120,120,3057341,5097600,1,1,0,500,50,1,0,1,2,4,1300,0,0
4,1,240,240,2114847,2419200,4,0,2,500,50,0,0,1,1,1,500,0,0
4,2,300,300,286627836,173232000,1,0,0,500,50,1,1,1,1,3,600,1,0
4,2,6534,6354,269694247,270777600,0,0,0,500,50,0,0,1,2,6,800,0,0
4,1,240,240,264167852,220991593,0,0,0,1100,300,1,1,1,3,6,2485,0,0
4,2,6534,6354,271240938,89251200,2,0,0,500,50,1,0,1,2,6,1500,1,0
4,2,120,120,322834154,287193600,0,0,0,400,5,1,0,1,3,6,1500,0,0
4,2,15780,15780,50071466,42336000,0,0,0,500,50,0,0,1,0,0,0,0,0
4,2,6534,6354,141392533,141782400,0,0,0,600,25,0,0,1,2,6,900,0,0
4,1,5086,5086,138347459,97372800,3,0,0,650,40,0,0,1,0,0,0,0,0
4,2,6534,6354,136976490,133050228,2,0,0,700,25,1,0,1,2,6,1900,1,0
4,2,120,120,136381839,136598400,0,0,0,650,40,0,0,1,1,3,650,0,0
4,4,3120,3000,130314783,97372800,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,1,240,240,127569067,94089600,0,0,0,500,20,1,0,1,1,3,1000,0,0
4,2,6414,6354,119084307,120321559,0,0,0,800,50,1,0,1,2,6,1250,0,0
4,3,3300,3060,111501182,107827200,0,0,0,650,40,1,0,1,2,6,1350,0,0
4,2,180,180,101122330,97459200,0,0,0,500,50,1,0,1,4,6,1391,0,0
4,2,6534,6354,103273982,105321600,1,0,0,500,20,0,0,1,1,3,400,0,1
4,3,6746,6506,99129028,47520000,1,0,0,500,50,1,0,1,2,6,900,0,0
4,2,12000,12000,180690237,176083200,0,0,0,700,5,0,0,1,2,6,1400,0,0
4,2,12000,12000,120560482,118627200,0,0,0,700,5,0,0,1,2,6,1400,0,0
4,1,240,240,73747072,71457672,0,0,0,650,40,1,0,1,2,6,1150,0,0
4,3,16500,16020,18361740,20736000,3,0,1,700,5,1,0,1,2,6,1000,1,0
4,1,240,240,323407276,323568000,4,0,2,500,20,1,0,1,2,6,1200,0,0
4,2,6534,6354,294751373,247442722,0,0,0,700,25,0,1,1,1,3,700,0,0
4,6,27239,8569,16628781,15984000,2,0,0,850,10,0,0,1,2,6,1500,0,0
4,6,27239,8569,15499312,13305600,0,0,0,700,5,0,0,1,2,5,1350,0,0
4,6,27239,8569,15682207,13305600,1,0,0,850,10,0,0,1,2,6,1555,0,0
4,6,27239,8569,15677530,13305600,5,2,0,700,5,0,0,1,0,0,0,0,0
4,6,27239,8569,14893812,13305600,8,2,1,700,5,0,0,1,1,3,600,0,0
4,6,27239,8569,14215090,13305600,0,0,0,850,10,0,0,1,2,6,1500,0,0
